Geneid	Chr	Start	End	Strand	Length	SRR6344904	SRR6344905	SRR6344906	SRR6344910	SRR6344912	SRR6344913
G372_RS0106735	NZ_ARQK01000049.1	28526	28882	-	357	94	106	95	90	48	65
G372_RS0106740	NZ_ARQK01000049.1	29119	29958	+	840	122	285	96	117	88	101
G372_RS0106745	NZ_ARQK01000049.1	29974	30297	+	324	34	41	33	28	24	11
G372_RS0106750	NZ_ARQK01000049.1	30345	30908	-	564	192	223	200	226	179	120
G372_RS0106755	NZ_ARQK01000049.1	31038	32921	-	1884	1023	1233	1044	906	751	452
G372_RS0106760	NZ_ARQK01000049.1	33255	34127	+	873	195	330	180	305	345	146
G372_RS0106765	NZ_ARQK01000049.1	34239	34949	-	711	831	573	755	1521	975	780
G372_RS0106770	NZ_ARQK01000049.1	35049	35951	-	903	338	421	284	276	225	170
G372_RS0106775	NZ_ARQK01000049.1	35969	36781	-	813	1265	2157	1245	848	963	595
G372_RS0106780	NZ_ARQK01000049.1	36824	38341	-	1518	1604	1860	1482	1506	1115	1448
G372_RS0106785	NZ_ARQK01000049.1	38479	39042	+	564	567	893	593	426	295	315
G372_RS0106790	NZ_ARQK01000049.1	39122	39655	+	534	99	162	73	88	62	43
G372_RS0106795	NZ_ARQK01000049.1	39678	40919	+	1242	279	610	243	211	177	170
G372_RS0106800	NZ_ARQK01000049.1	40977	41339	-	363	438	1319	401	463	478	351
G372_RS0106805	NZ_ARQK01000049.1	41402	41935	+	534	107	156	108	200	171	87
G372_RS0106810	NZ_ARQK01000049.1	41985	42638	-	654	135	116	129	103	85	74
G372_RS0106815	NZ_ARQK01000049.1	42638	43708	-	1071	545	421	546	521	304	325
G372_RS0106820	NZ_ARQK01000049.1	43708	44820	-	1113	224	379	179	228	224	156
G372_RS0106825	NZ_ARQK01000049.1	44910	46385	+	1476	1017	1292	912	722	548	523
G372_RS0106830	NZ_ARQK01000049.1	46405	46821	+	417	231	341	160	189	155	135
G372_RS0106835	NZ_ARQK01000049.1	46858	47454	-	597	76	229	57	52	33	60
G372_RS0106840	NZ_ARQK01000049.1	47545	48408	+	864	176	332	171	147	133	113
G372_RS0106845	NZ_ARQK01000049.1	48434	50089	-	1656	293	574	259	239	214	172
G372_RS0106850	NZ_ARQK01000049.1	50247	51719	+	1473	862	1312	832	671	583	489
G372_RS0106855	NZ_ARQK01000049.1	51807	54644	+	2838	5447	5215	5053	8733	8669	3899
G372_RS0106860	NZ_ARQK01000049.1	54716	54994	+	279	50	88	48	107	80	51
G372_RS0106865	NZ_ARQK01000049.1	55019	56650	+	1632	420	401	324	308	261	211
G372_RS0106870	NZ_ARQK01000049.1	56650	58074	+	1425	602	825	600	357	195	273
G372_RS0106875	NZ_ARQK01000049.1	58091	58684	-	594	100	93	100	51	37	27
G372_RS0106880	NZ_ARQK01000049.1	58684	59151	-	468	103	99	68	92	66	58
G372_RS0106885	NZ_ARQK01000049.1	59170	59559	-	390	199	204	162	205	98	133
G372_RS0106890	NZ_ARQK01000049.1	59570	60217	-	648	382	529	315	379	523	233
G372_RS0106895	NZ_ARQK01000049.1	60290	61591	-	1302	1712	2056	1538	1677	1916	881
G372_RS0106900	NZ_ARQK01000049.1	61599	62633	-	1035	93	384	84	108	117	54
G372_RS0106905	NZ_ARQK01000049.1	62636	63199	-	564	161	283	100	254	275	90
G372_RS0106910	NZ_ARQK01000049.1	63199	65787	-	2589	1775	2684	1427	2413	2130	1138
G372_RS0106915	NZ_ARQK01000049.1	65997	66848	+	852	467	525	448	555	316	444
G372_RS0106920	NZ_ARQK01000049.1	66941	69352	-	2412	685	746	713	572	444	474
G372_RS0106925	NZ_ARQK01000049.1	69548	70108	+	561	921	657	849	385	175	357
G372_RS0106930	NZ_ARQK01000049.1	70162	71661	-	1500	484	531	428	416	250	225
G372_RS0106935	NZ_ARQK01000049.1	71664	72593	-	930	377	465	391	366	352	191
G372_RS0106940	NZ_ARQK01000049.1	72589	73101	-	513	76	109	51	104	106	39
G372_RS0106945	NZ_ARQK01000049.1	73091	74083	-	993	564	761	602	962	924	566
G372_RS13545	NZ_ARQK01000049.1	74090	75439	-	1350	3413	3443	2953	4161	4423	2243
G372_RS0106955	NZ_ARQK01000049.1	75479	75958	-	480	687	512	667	1104	998	986
G372_RS0106960	NZ_ARQK01000050.1	739	1425	-	687	94	143	88	215	261	84
G372_RS0106965	NZ_ARQK01000050.1	1535	1957	+	423	59	189	63	56	20	35
G372_RS0106970	NZ_ARQK01000050.1	1981	2424	+	444	73	72	48	53	36	61
G372_RS0106975	NZ_ARQK01000050.1	2504	3886	+	1383	1172	1121	1120	2239	1809	1008
G372_RS0106980	NZ_ARQK01000050.1	3886	4413	+	528	204	363	180	322	289	114
G372_RS0106985	NZ_ARQK01000050.1	4413	5060	+	648	710	425	769	805	649	409
G372_RS0106990	NZ_ARQK01000050.1	5100	5891	+	792	893	761	719	819	610	514
G372_RS0106995	NZ_ARQK01000050.1	5946	6824	+	879	555	710	541	502	458	267
G372_RS0107000	NZ_ARQK01000050.1	6920	7297	+	378	568	683	566	1505	1437	600
G372_RS0107005	NZ_ARQK01000050.1	7464	8621	+	1158	497	946	433	601	659	262
G372_RS0107010	NZ_ARQK01000050.1	8621	9493	+	873	1016	1258	950	887	899	462
G372_RS0107015	NZ_ARQK01000050.1	9506	11197	+	1692	668	918	550	1018	989	513
G372_RS0107020	NZ_ARQK01000050.1	11645	11980	+	336	2192	2154	2216	1697	1601	1099
G372_RS0107025	NZ_ARQK01000050.1	12164	13000	-	837	988	1113	878	1092	1351	663
G372_RS0107030	NZ_ARQK01000050.1	13099	14055	+	957	199	345	149	427	470	236
G372_RS0107035	NZ_ARQK01000050.1	14048	14830	+	783	167	513	123	100	101	59
G372_RS0107040	NZ_ARQK01000050.1	14947	17526	+	2580	2813	4325	2879	3096	4050	1826
G372_RS0107045	NZ_ARQK01000050.1	17639	18985	-	1347	1216	1763	1185	1594	2602	574
G372_RS0107050	NZ_ARQK01000050.1	19096	20370	+	1275	208	234	222	123	59	77
G372_RS0107055	NZ_ARQK01000050.1	20473	21633	+	1161	906	911	865	839	430	707
G372_RS0107060	NZ_ARQK01000050.1	21663	23336	+	1674	1250	1084	1090	1231	996	893
G372_RS0107065	NZ_ARQK01000050.1	23454	23741	+	288	256	273	281	313	289	177
G372_RS0107070	NZ_ARQK01000050.1	23777	24352	-	576	313	433	273	433	501	262
G372_RS0107075	NZ_ARQK01000050.1	24439	25434	-	996	169	354	134	102	113	58
G372_RS0107080	NZ_ARQK01000050.1	25454	25987	-	534	780	1162	730	499	827	211
G372_RS0107085	NZ_ARQK01000050.1	26063	26338	-	276	129	150	92	100	122	58
G372_RS0107090	NZ_ARQK01000050.1	26341	26766	-	426	1180	661	1046	618	511	403
G372_RS0107095	NZ_ARQK01000050.1	26797	27129	-	333	1576	1052	1506	777	849	659
G372_RS0107100	NZ_ARQK01000050.1	27207	28403	+	1197	78	126	79	93	99	53
G372_RS0107105	NZ_ARQK01000050.1	28548	29834	+	1287	3462	5658	3216	7812	8446	2874
G372_RS0107110	NZ_ARQK01000050.1	29860	30411	+	552	457	510	373	767	562	394
G372_RS0107115	NZ_ARQK01000050.1	30562	31296	+	735	332	409	319	598	514	311
G372_RS0107120	NZ_ARQK01000050.1	31319	31831	+	513	213	212	188	258	185	127
G372_RS0107125	NZ_ARQK01000050.1	31831	32433	+	603	298	422	212	218	202	113
G372_RS0107130	NZ_ARQK01000050.1	32489	32926	-	438	1041	1056	1001	524	393	363
G372_RS0107135	NZ_ARQK01000050.1	33046	34002	+	957	738	985	721	622	543	464
G372_RS0107140	NZ_ARQK01000050.1	34055	34240	-	186	32	45	29	25	34	20
G372_RS0107145	NZ_ARQK01000050.1	34268	34522	-	255	15	41	13	27	15	21
G372_RS0107150	NZ_ARQK01000050.1	34589	36715	-	2127	125	344	164	99	117	63
G372_RS0107155	NZ_ARQK01000050.1	36672	37058	-	387	144	175	104	173	247	80
G372_RS0107160	NZ_ARQK01000050.1	37147	38274	-	1128	306	417	256	357	504	132
G372_RS0107165	NZ_ARQK01000050.1	38274	39338	-	1065	240	442	153	358	597	115
G372_RS0107170	NZ_ARQK01000050.1	39444	39701	-	258	1828	634	1724	3119	1468	1042
G372_RS0107175	NZ_ARQK01000050.1	39738	40046	-	309	627	313	587	2163	1130	919
G372_RS0107180	NZ_ARQK01000050.1	40250	41215	+	966	708	883	632	943	941	484
G372_RS0107190	NZ_ARQK01000050.1	41497	42144	+	648	229	274	172	1590	2272	796
G372_RS0107195	NZ_ARQK01000050.1	42182	42454	+	273	1947	1652	1961	3652	2980	1888
G372_RS0107200	NZ_ARQK01000050.1	42471	44639	+	2169	2955	3294	2627	4147	4514	2107
G372_RS0107205	NZ_ARQK01000050.1	44685	45497	-	813	145	224	124	230	186	153
G372_RS0107210	NZ_ARQK01000050.1	45493	46434	-	942	241	260	188	219	134	166
G372_RS0107215	NZ_ARQK01000050.1	46441	47655	-	1215	506	582	495	561	506	350
G372_RS0107220	NZ_ARQK01000050.1	47730	47966	+	237	232	385	236	199	211	139
G372_RS0107225	NZ_ARQK01000050.1	48066	48233	-	168	112	191	109	436	981	70
G372_RS0107230	NZ_ARQK01000050.1	48247	48480	-	234	678	376	540	2134	1974	483
G372_RS0107235	NZ_ARQK01000050.1	48558	50291	-	1734	410	462	364	202	167	225
G372_RS0107240	NZ_ARQK01000050.1	50504	51460	+	957	970	1459	891	630	734	469
G372_RS0107245	NZ_ARQK01000050.1	51460	52200	+	741	493	373	430	454	393	258
G372_RS0107250	NZ_ARQK01000050.1	52218	52691	+	474	224	191	182	234	215	152
G372_RS0107255	NZ_ARQK01000050.1	52691	53806	+	1116	1465	1018	1418	1324	1106	846
G372_RS0107260	NZ_ARQK01000050.1	53891	55399	+	1509	2110	2421	2043	2908	2993	1736
G372_RS0107265	NZ_ARQK01000050.1	55540	59439	+	3900	1696	2026	1533	1781	1939	1150
G372_RS0107270	NZ_ARQK01000050.1	59456	60283	+	828	950	1636	774	913	1308	490
G372_RS0107275	NZ_ARQK01000050.1	60395	61834	+	1440	1632	2220	1454	2436	1997	1409
G372_RS0107280	NZ_ARQK01000050.1	61884	62144	+	261	729	678	693	443	280	318
G372_RS0107285	NZ_ARQK01000050.1	62234	63604	+	1371	1264	1147	1157	1372	1098	809
G372_RS0107290	NZ_ARQK01000050.1	63615	64439	-	825	255	420	207	374	338	180
G372_RS0107295	NZ_ARQK01000050.1	64447	64836	-	390	277	657	242	268	491	122
G372_RS0107300	NZ_ARQK01000050.1	64875	65849	-	975	154	213	141	140	119	87
G372_RS0107305	NZ_ARQK01000050.1	65893	66681	-	789	176	173	147	131	138	92
G372_RS0107310	NZ_ARQK01000050.1	66693	67754	-	1062	474	616	395	258	262	153
G372_RS0107315	NZ_ARQK01000050.1	67723	69147	-	1425	1444	1381	1308	996	905	493
G372_RS0107320	NZ_ARQK01000050.1	69134	71386	-	2253	1070	1355	1034	670	761	288
G372_RS0107325	NZ_ARQK01000050.1	71427	72071	-	645	1101	1530	1036	808	736	277
G372_RS0107330	NZ_ARQK01000050.1	72312	72845	+	534	2761	2566	2534	3226	3311	1630
G372_RS0107335	NZ_ARQK01000050.1	72953	74830	+	1878	2765	2329	2464	3889	4316	1702
G372_RS0107340	NZ_ARQK01000050.1	74830	75945	+	1116	546	561	626	603	616	348
G372_RS0107345	NZ_ARQK01000050.1	75945	76967	+	1023	2317	1908	2246	1623	1308	1176
G372_RS0107350	NZ_ARQK01000050.1	76927	77928	+	1002	870	1379	802	1068	1273	583
G372_RS0107355	NZ_ARQK01000050.1	78077	79282	+	1206	1167	2382	1084	1386	1879	763
G372_RS0107360	NZ_ARQK01000050.1	79298	80179	+	882	574	1206	578	547	500	380
G372_RS0107365	NZ_ARQK01000050.1	80179	80445	+	267	97	241	92	85	75	50
G372_RS0107370	NZ_ARQK01000050.1	80445	81164	+	720	228	215	163	181	163	109
G372_RS13550	NZ_ARQK01000051.1	4	285	-	282	15	25	20	14	14	11
G372_RS0107385	NZ_ARQK01000051.1	675	1802	+	1128	66	115	79	67	63	46
G372_RS0107390	NZ_ARQK01000051.1	1808	2248	+	441	7	5	1	2	2	0
G372_RS0107395	NZ_ARQK01000051.1	2274	4451	+	2178	190	345	179	203	235	128
G372_RS0107400	NZ_ARQK01000051.1	5144	7234	-	2091	123	109	126	113	90	92
G372_RS0107405	NZ_ARQK01000051.1	7255	8016	-	762	62	47	56	62	56	43
G372_RS0107410	NZ_ARQK01000051.1	8037	8573	-	537	33	40	18	35	46	11
G372_RS13950	NZ_ARQK01000051.1	8724	9029	-	306	22	56	23	48	31	13
G372_RS0107415	NZ_ARQK01000051.1	9307	9759	+	453	139	133	149	365	237	142
G372_RS0107420	NZ_ARQK01000051.1	9878	11683	-	1806	10184	16142	9050	6812	7119	3257
G372_RS0107430	NZ_ARQK01000051.1	12093	13532	-	1440	4503	3528	4007	3291	3315	2145
G372_RS0107435	NZ_ARQK01000051.1	13594	13902	-	309	5697	3235	5818	3686	2967	3123
G372_RS0107440	NZ_ARQK01000051.1	14167	14493	+	327	1704	1620	1616	2549	3432	636
G372_RS0107445	NZ_ARQK01000051.1	14637	14864	+	228	3017	4117	3520	2001	6302	613
G372_RS0107450	NZ_ARQK01000051.1	15055	15726	+	672	17716	23969	17140	9430	21400	3409
G372_RS0107455	NZ_ARQK01000051.1	15775	17178	+	1404	54933	56212	47306	19741	39832	6884
G372_RS0107460	NZ_ARQK01000051.1	17205	18230	+	1026	43623	34645	41118	16232	20665	7355
G372_RS0107465	NZ_ARQK01000051.1	18172	19041	+	870	8537	11226	8043	3934	7103	1916
G372_RS0107470	NZ_ARQK01000051.1	19094	19807	+	714	14635	21736	15578	7350	10358	3126
G372_RS0107475	NZ_ARQK01000051.1	19803	20711	+	909	42519	54425	41925	14446	19549	6308
G372_RS0107480	NZ_ARQK01000051.1	20810	21253	+	444	780	950	832	445	459	238
G372_RS0107485	NZ_ARQK01000051.1	21265	21669	+	405	347	962	383	283	696	103
G372_RS0107490	NZ_ARQK01000051.1	21710	22144	+	435	21371	15580	22203	12737	8979	7609
G372_RS0107495	NZ_ARQK01000051.1	22224	23402	+	1179	3333	3310	3277	2443	2310	1093
G372_RS0107500	NZ_ARQK01000051.1	23398	24486	+	1089	3498	5376	3786	2661	3435	1203
G372_RS0107505	NZ_ARQK01000051.1	24527	25606	+	1080	1847	1911	1594	1455	1286	761
G372_RS0107510	NZ_ARQK01000051.1	25660	26829	+	1170	10233	7417	8963	4467	3564	2638
G372_RS0107515	NZ_ARQK01000051.1	27082	28395	+	1314	17294	35013	16755	2930	2149	1489
G372_RS0107520	NZ_ARQK01000051.1	28613	29581	+	969	6551	9558	5921	1113	1155	538
G372_RS0107525	NZ_ARQK01000051.1	29727	30143	+	417	303	215	326	432	304	144
G372_RS0107530	NZ_ARQK01000051.1	30150	31193	+	1044	307	371	214	361	387	152
G372_RS0107535	NZ_ARQK01000051.1	31249	31632	+	384	183	170	166	384	484	159
G372_RS0107540	NZ_ARQK01000051.1	31732	32046	-	315	2895	2239	2493	3840	5581	1783
G372_RS0107545	NZ_ARQK01000051.1	32292	33149	+	858	391	890	371	346	854	148
G372_RS0107550	NZ_ARQK01000051.1	33149	35704	+	2556	1124	1420	983	884	1103	420
G372_RS0107555	NZ_ARQK01000051.1	35704	36921	+	1218	518	477	441	295	293	144
G372_RS0107560	NZ_ARQK01000051.1	36940	37503	-	564	196	182	172	231	265	142
G372_RS0107565	NZ_ARQK01000051.1	37577	39109	-	1533	333	318	267	210	134	152
G372_RS0107570	NZ_ARQK01000051.1	39109	40341	-	1233	57	156	51	75	80	41
G372_RS0107575	NZ_ARQK01000051.1	40475	41836	+	1362	468	406	453	407	262	298
G372_RS0107580	NZ_ARQK01000051.1	41846	42535	+	690	224	422	211	199	180	149
G372_RS0107585	NZ_ARQK01000051.1	42553	43254	+	702	106	164	108	116	120	69
G372_RS0107590	NZ_ARQK01000051.1	43250	43885	+	636	209	212	165	152	66	121
G372_RS0107595	NZ_ARQK01000051.1	43958	44197	+	240	146	70	136	125	113	53
G372_RS0107600	NZ_ARQK01000051.1	44292	44645	+	354	523	460	525	661	599	259
G372_RS0107605	NZ_ARQK01000051.1	44776	46107	+	1332	74	60	53	144	156	51
G372_RS0107610	NZ_ARQK01000051.1	46595	47896	+	1302	8	16	6	14	5	15
G372_RS0107615	NZ_ARQK01000051.1	47947	48876	+	930	30	37	39	25	36	41
G372_RS0107620	NZ_ARQK01000051.1	48906	49703	+	798	19	13	19	19	16	9
G372_RS0107625	NZ_ARQK01000051.1	49706	52183	+	2478	60	78	32	47	20	26
G372_RS0107630	NZ_ARQK01000051.1	52183	52551	+	369	1	1	2	0	2	1
G372_RS0107635	NZ_ARQK01000051.1	52556	55243	+	2688	23	17	11	19	19	9
G372_RS0107640	NZ_ARQK01000051.1	55249	56712	+	1464	46	68	42	34	20	15
G372_RS0107645	NZ_ARQK01000051.1	56712	57563	+	852	86	262	84	41	35	33
G372_RS0107650	NZ_ARQK01000051.1	57589	59394	-	1806	680	1187	620	280	287	182
G372_RS0107655	NZ_ARQK01000051.1	59490	60602	-	1113	136	283	113	146	144	89
G372_RS0107660	NZ_ARQK01000051.1	60695	61348	-	654	264	262	271	315	329	201
G372_RS0107665	NZ_ARQK01000051.1	61354	62775	-	1422	754	763	705	639	507	325
G372_RS0107670	NZ_ARQK01000051.1	62775	63227	-	453	172	218	177	250	328	108
G372_RS0107675	NZ_ARQK01000051.1	63444	64421	+	978	144	179	108	173	193	103
G372_RS0107680	NZ_ARQK01000051.1	64431	65216	+	786	13	46	18	25	63	20
G372_RS0107685	NZ_ARQK01000051.1	65345	66394	-	1050	215	221	175	225	193	95
G372_RS0107690	NZ_ARQK01000051.1	66461	67999	-	1539	734	683	599	569	542	278
G372_RS0107695	NZ_ARQK01000051.1	67996	68748	-	753	670	1353	617	746	628	476
G372_RS0107700	NZ_ARQK01000051.1	68942	70300	+	1359	10731	11021	9722	5194	2819	4748
G372_RS0107705	NZ_ARQK01000051.1	70364	70684	+	321	1258	1621	1450	1720	1968	986
G372_RS0107710	NZ_ARQK01000051.1	70854	73055	-	2202	212	297	155	242	205	74
G372_RS0107715	NZ_ARQK01000051.1	73109	73891	-	783	98	87	90	86	77	35
G372_RS0107720	NZ_ARQK01000051.1	73900	74802	-	903	282	272	255	533	420	317
G372_RS0107725	NZ_ARQK01000051.1	74967	75404	-	438	45	91	51	79	47	83
G372_RS0107730	NZ_ARQK01000051.1	75696	76136	-	441	11	12	20	85	67	62
G372_RS0107735	NZ_ARQK01000051.1	76631	77536	+	906	312	386	293	393	370	275
G372_RS0107740	NZ_ARQK01000051.1	77732	79090	+	1359	604	370	598	822	754	358
G372_RS0107745	NZ_ARQK01000051.1	79136	80716	-	1581	829	775	677	909	837	442
G372_RS0107750	NZ_ARQK01000051.1	80787	81644	-	858	1296	1043	1211	2273	2226	864
G372_RS0107755	NZ_ARQK01000051.1	81764	82102	+	339	207	208	170	193	208	92
G372_RS0107765	NZ_ARQK01000052.1	220	1887	-	1668	313	272	316	283	245	180
G372_RS0107770	NZ_ARQK01000052.1	2178	3566	-	1389	239	195	205	139	99	127
G372_RS0107775	NZ_ARQK01000052.1	3592	5226	-	1635	1286	1557	1365	530	333	444
G372_RS0107780	NZ_ARQK01000052.1	5479	5958	+	480	219	202	179	517	461	231
G372_RS0107785	NZ_ARQK01000052.1	5995	6504	-	510	629	381	530	1201	1029	447
G372_RS0107790	NZ_ARQK01000052.1	6624	6935	-	312	40	47	25	36	46	32
G372_RS0107795	NZ_ARQK01000052.1	7135	8520	+	1386	472	561	467	475	380	190
G372_RS0107800	NZ_ARQK01000052.1	8637	9323	+	687	402	599	420	683	1271	199
G372_RS0107805	NZ_ARQK01000052.1	9537	11834	+	2298	2501	1834	2385	3299	3432	1004
G372_RS0107810	NZ_ARQK01000052.1	11834	12256	+	423	156	139	140	182	264	69
G372_RS0107815	NZ_ARQK01000052.1	12259	12603	+	345	35	39	26	56	47	32
G372_RS0107820	NZ_ARQK01000052.1	12603	14105	+	1503	1307	1425	1434	1419	1897	693
G372_RS0107825	NZ_ARQK01000052.1	14105	14575	+	471	269	502	274	340	555	139
G372_RS0107830	NZ_ARQK01000052.1	14594	14866	+	273	251	216	214	306	458	153
G372_RS0107835	NZ_ARQK01000052.1	14862	15254	+	393	855	1075	830	684	773	331
G372_RS0107840	NZ_ARQK01000052.1	15381	15830	-	450	4507	4185	4283	927	2293	625
G372_RS0107845	NZ_ARQK01000052.1	16029	16694	+	666	627	901	579	400	455	196
G372_RS0107850	NZ_ARQK01000052.1	17036	17767	+	732	99	116	74	117	456	84
G372_RS0107855	NZ_ARQK01000052.1	17794	19110	+	1317	369	268	349	312	198	242
G372_RS0107860	NZ_ARQK01000052.1	19128	19583	-	456	259	179	213	219	102	175
G372_RS0107865	NZ_ARQK01000052.1	19688	20167	+	480	563	612	568	428	406	299
G372_RS0107870	NZ_ARQK01000052.1	20188	20973	+	786	317	424	349	219	225	92
G372_RS0107875	NZ_ARQK01000052.1	21003	23039	+	2037	339	437	317	338	285	197
G372_RS0107880	NZ_ARQK01000052.1	23144	23773	+	630	966	665	841	816	391	635
G372_RS0107885	NZ_ARQK01000052.1	23811	25166	+	1356	651	1006	693	869	932	450
G372_RS0107890	NZ_ARQK01000052.1	25195	25806	-	612	460	466	428	245	177	210
G372_RS0107895	NZ_ARQK01000052.1	25806	26579	-	774	82	93	76	74	44	73
G372_RS0107900	NZ_ARQK01000052.1	26974	27957	+	984	183	197	137	157	102	124
G372_RS0107905	NZ_ARQK01000052.1	27992	28387	+	396	342	345	341	286	259	198
G372_RS0107910	NZ_ARQK01000052.1	28394	29434	+	1041	140	273	157	161	120	74
G372_RS0107915	NZ_ARQK01000052.1	29439	30242	+	804	83	106	86	109	98	54
G372_RS14460	NZ_ARQK01000052.1	30380	30952	+	573	989	1149	968	1690	1437	885
G372_RS14185	NZ_ARQK01000052.1	31652	31786	+	135	50	88	26	78	60	57
G372_RS0107935	NZ_ARQK01000052.1	31873	32592	+	720	2616	2949	2648	1271	870	953
G372_RS0107940	NZ_ARQK01000052.1	32814	34400	+	1587	4766	3906	4687	4763	3608	3322
G372_RS14355	NZ_ARQK01000052.1	34489	34629	+	141	1092	1037	1060	939	917	582
G372_RS0107950	NZ_ARQK01000052.1	34762	35229	+	468	5771	3468	5542	2223	1644	1375
G372_RS0107955	NZ_ARQK01000052.1	35438	36328	+	891	102	171	105	206	202	145
G372_RS0107960	NZ_ARQK01000052.1	36350	37015	+	666	51	50	41	57	69	38
G372_RS0107965	NZ_ARQK01000052.1	37100	37372	+	273	78	149	68	67	65	32
G372_RS0107970	NZ_ARQK01000052.1	37385	38059	-	675	189	290	179	161	184	95
G372_RS0107975	NZ_ARQK01000052.1	38067	38528	-	462	462	344	442	358	334	152
G372_RS0107980	NZ_ARQK01000052.1	38564	39196	-	633	933	497	1311	1457	877	1084
G372_RS0107985	NZ_ARQK01000052.1	39632	40795	+	1164	781	937	759	882	943	363
G372_RS0107990	NZ_ARQK01000052.1	40936	42522	+	1587	918	1109	685	1010	1140	492
G372_RS0107995	NZ_ARQK01000052.1	42544	43110	-	567	276	234	258	380	378	136
G372_RS0108000	NZ_ARQK01000052.1	43150	43638	-	489	95	101	86	70	74	51
G372_RS0108005	NZ_ARQK01000052.1	43634	44362	-	729	330	355	276	189	187	138
G372_RS0108010	NZ_ARQK01000052.1	44568	45803	+	1236	1708	2057	1635	907	676	750
G372_RS0108015	NZ_ARQK01000052.1	45918	47813	+	1896	791	966	675	692	560	644
G372_RS0108020	NZ_ARQK01000052.1	48254	50110	+	1857	9374	15197	9542	18950	25200	5755
G372_RS13555	NZ_ARQK01000052.1	50117	50670	+	554	1900	3354	1773	2330	2399	854
G372_RS0108030	NZ_ARQK01000052.1	50798	55264	+	4467	2398	4776	2386	4275	5171	1956
G372_RS0108035	NZ_ARQK01000052.1	55404	55844	+	441	75	70	72	93	95	70
G372_RS0108040	NZ_ARQK01000052.1	55844	56131	+	288	34	70	33	40	26	22
G372_RS0108045	NZ_ARQK01000052.1	56193	56804	+	612	338	767	311	393	305	184
G372_RS0108050	NZ_ARQK01000052.1	56804	58093	+	1290	596	708	640	495	478	333
G372_RS0108055	NZ_ARQK01000052.1	58093	58944	+	852	332	487	391	338	322	181
G372_RS0108060	NZ_ARQK01000052.1	58970	60076	+	1107	131	263	137	143	156	98
G372_RS0108065	NZ_ARQK01000052.1	60076	61017	+	942	264	384	316	186	166	129
G372_RS0108070	NZ_ARQK01000052.1	61017	61787	+	771	182	201	183	176	153	96
G372_RS0108075	NZ_ARQK01000052.1	61808	63190	+	1383	204	377	254	199	151	138
G372_RS0108080	NZ_ARQK01000052.1	63190	63840	+	651	171	453	220	121	134	77
G372_RS0108085	NZ_ARQK01000052.1	63840	64592	+	753	272	535	257	197	192	105
G372_RS0108090	NZ_ARQK01000052.1	64592	65374	+	783	181	561	188	175	120	126
G372_RS0108095	NZ_ARQK01000052.1	65394	66191	-	798	72	66	43	43	33	27
G372_RS0108100	NZ_ARQK01000052.1	66196	67428	+	1233	48	142	36	31	24	29
G372_RS0108105	NZ_ARQK01000052.1	67461	67886	+	426	0	2	0	0	0	0
G372_RS0108110	NZ_ARQK01000052.1	67889	68650	+	762	72	210	68	96	125	35
G372_RS0108115	NZ_ARQK01000052.1	68714	69271	-	558	168	259	151	321	458	122
G372_RS0108120	NZ_ARQK01000052.1	69296	70408	-	1113	291	551	237	1153	1078	290
G372_RS0108125	NZ_ARQK01000052.1	71029	72006	+	978	197	243	197	342	271	199
G372_RS0108130	NZ_ARQK01000052.1	72159	73562	+	1404	1241	1087	1049	2219	2062	644
G372_RS0108140	NZ_ARQK01000052.1	73709	73936	+	228	2042	1531	1855	3504	5036	1471
G372_RS0108150	NZ_ARQK01000052.1	74102	77923	-	3822	3693	3499	3476	1650	1554	1120
G372_RS0108155	NZ_ARQK01000052.1	78076	78573	-	498	1157	1003	1261	1019	1067	553
G372_RS0108160	NZ_ARQK01000052.1	78718	78978	-	261	798	705	615	697	619	218
G372_RS0108165	NZ_ARQK01000052.1	79009	80415	-	1407	396	623	240	308	294	216
G372_RS0108170	NZ_ARQK01000052.1	80498	81478	-	981	2236	1826	1751	2614	1845	1645
G372_RS0108175	NZ_ARQK01000052.1	81774	83627	+	1854	898	847	910	808	523	693
G372_RS0108180	NZ_ARQK01000053.1	182	2665	+	2484	6872	7222	6558	4596	3582	2632
G372_RS0108185	NZ_ARQK01000053.1	2685	3563	-	879	330	725	311	356	276	237
G372_RS0108190	NZ_ARQK01000053.1	3576	5198	-	1623	1841	1400	1726	1109	974	747
G372_RS0108195	NZ_ARQK01000053.1	5403	5951	-	549	116	68	47	71	87	54
G372_RS0108200	NZ_ARQK01000053.1	5983	7314	-	1332	1099	1139	1103	1115	1014	637
G372_RS0108205	NZ_ARQK01000053.1	7317	8702	-	1386	645	1271	615	892	1119	541
G372_RS0108210	NZ_ARQK01000053.1	8792	9832	+	1041	637	879	551	741	577	599
G372_RS0108215	NZ_ARQK01000053.1	9841	10509	+	669	78	81	58	84	73	61
G372_RS0108220	NZ_ARQK01000053.1	10509	11435	+	927	134	336	118	147	217	79
G372_RS0108225	NZ_ARQK01000053.1	11553	12419	+	867	2553	2834	2535	3342	3706	2292
G372_RS0108235	NZ_ARQK01000053.1	12725	12931	-	207	195	100	183	94	83	56
G372_RS0108240	NZ_ARQK01000053.1	12968	15526	-	2559	431	454	402	512	446	299
G372_RS0108245	NZ_ARQK01000053.1	15546	16370	-	825	960	1017	936	1100	1092	600
G372_RS0108250	NZ_ARQK01000053.1	16465	17862	-	1398	1940	1666	1693	2906	3674	1539
